Galaxy_ID,RA,Dec,Stellar Mass,Redshift,SFR,Scale length,F444W_Asymmetry_Median,F410M_Asymmetry_Median,F356W_Asymmetry_Median,F277W_Asymmetry_Median,F200W_Asymmetry_Median,F160W_Asymmetry_Median,F125W_Asymmetry_Median,F115W_Asymmetry_Median,F606W_Asymmetry_Median,F814W_Asymmetry_Median
11743,214.843031,52.802925,9.64,1.931,13.89,2.727272727272727,0.07656887076955682,0.09029427722502192,0.08982228669501141,0.094997780420965,0.14453001840512308,0.09179567977341838,0.1048393893787962,0.15191655647544433,0.14984500599767253,0.17940582565902602
11832,214.827925,52.79349,8.8,3.09,10.82,2.5353535353535355,0.37382462319468546,0.38344542867674014,0.511238208501009,0.6242751569232855,0.4591837323141351,0.17056736915841172,0.16694171337651803,0.3467425894264038,0.21239772279107966,0.24600851774526575
11857,214.881591,52.830654,9.51,2.372,2.504,3.111111111111111,0.12281227966818672,0.1361264043204156,0.14086630769819647,0.16080490090536353,0.20313674011969873,0.12003340512886429,0.12558591535000502,0.27309130369508117,0.15626595234798643,0.14806530263369727
11860,214.863465,52.818931,8.64,2.731,3.646,2.3434343434343434,0.18307012588916904,0.22263192916609725,0.2897763636266554,0.2933523213957724,0.3327670628496302,0.13745565079184183,0.11895266296378923,0.29799843372052043,0.1465231270560245,0.17694506785205533
12360,214.832913,52.799574,9.65,3.147,2.665,2.1515151515151514,0.12410106866854093,0.12832971527429607,0.1291155932132806,0.15240829869694594,0.20418756001522176,0.13537663661352806,0.12295121767021981,0.24287564302859208,0.14362893761161558,0.16141263893003308
12467,214.83114,52.798329,9.2,1.697,5.257,5.4141414141414135,0.2346408851483152,0.2541874412503796,0.2446180612484989,0.2550386444576944,0.23836090012314748,0.13604405003248984,0.13110962517705926,0.21748400713143,0.1456268212884491,0.1375040822511568
12517,214.835815,52.802498,9.3,2.039,2.15,2.3434343434343434,0.09703679736723081,0.0863284308418687,0.11014719603521678,0.12661374594080999,0.1612344324116319,0.141409555686513,0.17145031028432925,0.21978583321326997,0.17869960588638,0.1742479429065091
12593,214.823799,52.794778,7.87,1.134,2.815,2.5353535353535355,0.16239711767795367,0.1528632698016453,0.18006942946079132,0.21313271816637566,0.2067374171328802,0.12579581679605223,0.12957083711618572,0.20688171852860304,0.15379186170312784,0.1849398470957417
12766,214.897935,52.848424,8.99,3.045,18.6,2.727272727272727,0.3847491564530812,0.36278634199684173,0.5786250728933604,0.5660041727482915,0.3630770050747408,0.18374903213416177,0.1553028395791627,0.2798241800652805,0.1570369636425114,0.1963504225123576
12809,214.912528,52.857033,11.1,1.564,0.3036,5.797979797979798,0.09118152344266786,0.09824030748745777,0.1070494163106859,0.16195655018589478,0.16968479653946344,0.08406444014236508,0.07597459434163775,0.2163527361538133,0.1649087973384353,0.12044193762681
12881,214.845511,52.810437,9.85,1.64,173.1,5.6060606060606055,0.1600535984883884,0.16683343897058325,0.17043918516910922,0.185397530672264,0.2608110708542821,0.19196843044302825,0.22705140864132956,0.3459737794051678,0.5299272466285316,0.456033027589563
12966,214.822634,52.795895,8.46,1.6,0.1859,2.5353535353535355,0.2331723182531888,0.2783594196073331,0.3359623530772841,0.3510460155548254,0.29216653246227026,0.12284248233124694,0.15274150885053633,0.30117863459939387,0.1330298227388532,0.11803637279923583
13063,214.895118,52.847947,8.23,0.621,0.000788,4.838383838383838,0.3368314824944843,0.3198850362373816,0.5046844537298099,0.5533497440859259,0.4573105033577014,0.17505611871252302,0.1253103144108894,0.37678459379277773,0.12075307630197496,0.15147324641243365
13108,214.842982,52.810858,8.16,0.807,0.3142,3.494949494949495,0.13852260832561633,0.13130228585388642,0.12338293433770238,0.12046963240490426,0.16712155470711204,0.18840167842276997,0.14260810222638914,0.170809262903079,0.19837452821856444,0.16728296693208075
13212,214.855804,52.820593,7.76,0.813,2.441,2.919191919191919,0.7008944205750982,0.6606140652572212,0.808456181899273,0.7553665425203857,0.7062686133041763,0.30181706211938575,0.27859767612072406,0.6107117984944831,0.3142023141027745,0.29206168800601207
13409,214.846905,52.815545,8.46,0.821,0.215,3.111111111111111,0.3217511464094925,0.33093670101057787,0.3869535848297404,0.4318938899805891,0.46724579346454587,0.1839430874703118,0.15628858729425865,0.46473720366946714,0.15192938581303572,0.21063441081545586
